zone_id,zone_name,site_name,geocode_name
C01,Crabbing Piers,Holt’s Landing State Park Pier,Holts Landing State Park Sussex County DE
C01,Crabbing Piers,Cape Henlopen Fishing Pier,Cape Henlopen State Park Lewes DE
C01,Crabbing Piers,Woodland Beach Pier,Woodland Beach Kent County DE
C01,Crabbing Piers,Port Mahon Fishing Pier,Port Mahon Little Creek DE
C01,Crabbing Piers,Trap Shooters Road Boat Launch Pier,Scotton Landing Boat Ramp Kent County DE

C02,Crabbing Bridges,Silver Run Road Bridges,Killens Pond State Park Felton DE
C02,Crabbing Bridges,Duck Creek Bridge,Duck Creek Smyrna DE
C02,Crabbing Bridges,Woodland Beach Bridge,Woodland Beach Kent County DE
C02,Crabbing Bridges,Savannah Road Bridge,Savannah Road Lewes DE
C02,Crabbing Bridges,Broadkill Road Bridge,Broadkill Road Milton DE

C03,Shoreline Crabbing Spots,Gills Neck Road Shoreline,Gills Neck Road Lewes DE
C03,Shoreline Crabbing Spots,Little Creek Boat Ramp Shoreline,Little Creek Kent County DE
C03,Shoreline Crabbing Spots,Cupola Park Shoreline,Cupola Park Millsboro DE
C03,Shoreline Crabbing Spots,Bowers Beach Jetty and Boat Ramp,Bowers Beach Kent County DE
C03,Shoreline Crabbing Spots,Love Creek Bridge and Shoreline Area,Holts Landing State Park Sussex County DE

C04,Delaware Bay and Tributaries,Delaware River below C&D Canal,Delaware City DE
C04,Delaware Bay and Tributaries,Upper Delaware Bay,Bowers Beach Kent County DE
C04,Delaware Bay and Tributaries,Lower Delaware Bay,Slaughter Beach Sussex County DE
C04,Delaware Bay and Tributaries,Augustine Wildlife Area,Augustine Beach New Castle County DE
C04,Delaware Bay and Tributaries,Silver Run,Killens Pond State Park Felton DE
C04,Delaware Bay and Tributaries,Appoquinimink River,Appoquinimink River Odessa DE
C04,Delaware Bay and Tributaries,Blackbird Creek,Blackbird State Forest Townsend DE
C04,Delaware Bay and Tributaries,Bombay Hook Wildlife Area,2591 Whitehall Neck Rd Smyrna DE
C04,Delaware Bay and Tributaries,Little Creek,Little Creek Kent County DE
C04,Delaware Bay and Tributaries,Smyrna River,Smyrna River Smyrna DE
C04,Delaware Bay and Tributaries,Saint Jones River,St Jones River Dover DE
C04,Delaware Bay and Tributaries,Murderkill River,Murderkill River Frederica DE
C04,Delaware Bay and Tributaries,Cedar Creek,Cedar Creek Milford DE
C04,Delaware Bay and Tributaries,Prime Hook Wildlife Refuge,Prime Hook National Wildlife Refuge Sussex County DE
C04,Delaware Bay and Tributaries,Broadkill River,Broadkill River Milton DE

C05,Rehoboth and Indian River Bays,Rehoboth Bay,Rehoboth Bay Sussex County DE
C05,Rehoboth and Indian River Bays,Indian River Bay,Indian River Bay Sussex County DE

C06,Little Assawoman Bay,Little Assawoman Bay,Little Assawoman Bay Fenwick Island DE
